stock_symbol,company_name,abbreviation,sector_id,address,chairman,general_manager,spokesperson,spokesperson_title,founding_date,otc_listed_date,outstanding_common_shares,private_placement_common_shares,preferred_shares,common_stock_dividend_frequency,common_stock_dividend_decision_level,accounting_firm,accountant_1,accountant_2,website
7743,金利食安科技股份有限公司,金利食安,8,屏東縣屏東市前進里5鄰園西街15號,廖日興,殷豪,殷豪,總經理,2011-06-09,2025-05-20,36483338,0,0,每年,董事會,勤業眾信聯合會計師事務所,謝明忠,呂宜真,http://www.kfs-foodtech.com/
8024,佑華微電子股份有限公司,佑華,1,新竹市光復路2段295號9樓之1,林振興,翁啟培,翁啟培,總經理,1992-07-28,2006-09-25,45160100,0,0,每年,股東會,勤業眾信聯合會計師事務所,林心彤,葉東煇,https://www.ealpha.com.tw
8027,鈦昇科技股份有限公司,鈦昇,11,高雄市燕巢區橫山路六十一號,王明慶,張光明,林傑倫,行銷處處長,1994-10-28,2015-06-09,108381345,0,0,每年,董事會,國富浩華聯合會計師事務所,謝仁耀,李國銘,www.enr.com.tw
8032,光菱電子股份有限公司,光菱,16,新北市汐止區新台五路一段79號9樓之7,廖順榮,陳建龍,帥緒廷,執行副總經理,1987-08-15,2003-10-02,51810300,0,0,每年,董事會,勤業眾信會計師事務所,陳俊宏,黃秀椿,www.koryo.com.tw
8034,榮群電訊股份有限公司,榮群,15,新竹科學工業園區工業東九路五號３樓,王慶橖,王慶橖,黃鳳珠,協理,1992-04-20,2004-05-06,56586353,0,0,每年,股東會,資誠聯合會計師事務所,蔣承翰,鄭雅慧,www.opnet.com.tw
8038,長園科技實業股份有限公司,長園科,13,(407)中部科學工業園區台中市西屯區科雅東路9號,張李琇玉,張惇杰,張惇杰,總經理,1997-08-28,2013-11-21,62874190,1300000,0,每年,股東會,資誠聯合會計師事務所,王玉娟,徐建業,www.caec.com.tw
8040,九暘電子股份有限公司,九暘,1,新竹市光復路2段2巷47號10樓之1,謝清江,潘建華,王婉娥,處長,1997-07-19,2007-04-30,96413874,27563800,0,每年,股東會,安永聯合會計師事務所,胡慎緁,楊雨霓,www.icplus.com.tw
8042,臺灣金山電子工業股份有限公司,金山電,13,新北市三重區光復路一段六十八巷十一弄一號二樓,江士勳,江慶信,陳安琪,管理部處長,1970-03-20,2004-03-22,129462549,0,0,每年,董事會,資誠聯合會計師事務所,涂展源,賴宗羲,www.chinsan.com
8043,蜜望實企業股份有限公司,蜜望實,13,台北市內湖區內湖路1段316號8樓,林訓民,許弘志,蔡素卿,財務部協理,1989-05-20,2003-10-24,79907170,0,0,每年,董事會,資誠聯合會計師事務所,葉翠苗,涂展源,WWW.THREEHHH.COM.TW
8044,網路家庭國際資訊股份有限公司,網家,17,台北市敦化南路二段105號12樓,詹宏志,張瑜珊,林佳慧,協理,1998-07-14,2005-01-24,205647065,71070583,0,每年,董事會,資誠聯合會計師事務所,梁嬋女,鄭裕仁,www.pchome.com.tw
8047,星雲電腦股份有限公司,星雲,14,新北市汐止區福德二路236號4樓-1,賴金森,吳景湧,周璿璿,財會部兼管理部副總,1989-04-20,2004-02-09,41666343,0,0,每年,股東會,安侯建業聯合會計師事務所,鄒依芸,曾國禓,http://www.gccworld.com
8048,德勝科技股份有限公司,德勝,15,台北市南港路三段50巷1號3樓,林坤銘,楊育哲,楊育哲,總經理,1981-07-14,2009-09-08,57783752,0,0,每年,股東會,勤業眾信聯合會計師事務所,林淑如,張淳儀,www.rubytech.com.tw
8049,晶采光電科技股份有限公司,晶采,2,新北市汐止區新台五路一段116號4樓,蘇漢傑,陳志湧,陳科宏,財務長,1998-03-17,2004-02-02,118279808,0,0,每年,股東會,安侯建業聯合會計師事務所,郭欣頤,寇惠植,www.ampire.com.tw
8050,廣積科技股份有限公司,廣積,12,台北市南港區園區街3號15樓之1,林秋旭,李家富,商志宏,執行副總經理,2000-02-15,2003-10-24,205178035,0,0,每年,董事會,勤業眾信會計師事務所,周仕杰,李東峰,www.ibase.com.tw
8054,安國國際科技股份有限公司,安國,1,臺北市南港區三重路66號9樓之1,羅森洲,陳建盛,蔡玲君,執行長,1999-11-23,2004-11-08,105772566,27041000,0,每年,董事會,資誠聯合會計師事務所,鄧聖偉,黃珮娟,www.alcormicro.com
8059,凱碩科技股份有限公司,凱碩,15,新北市深坑區北深路三段141巷14號,章瑛,章瑛(代理),吳麗美,協理,1998-06-26,2010-03-16,193441750,102500000,0,每年,董事會,資誠聯合會計師事務所,吳仁杰,張淑瓊,http://www.castlenet.com.tw
8064,東捷科技股份有限公司,東捷,2,南部科學園區台南市新市區南科六路9號,嚴瑞雄,陳贊仁,陳贊仁,總經理,1998-05-01,2006-09-25,164817836,0,0,每年,股東會,勤業眾信聯合會計師事務所,陳秀雯,許瑞軒,www.contrel.com.tw
8066,來思達國際企業股份有限公司,來思達,25,臺北市內湖區新湖一路86號3樓,謝采琁,謝孟霖,丁邦成,財務長,1996-12-19,2004-12-24,29642304,156000,0,每年,股東會,資誠聯合會計師事務所,陳啟東,林佳鴻,www.lifestyle-global.com
8067,志旭國際股份有限公司,志旭,16,新北市三重區新北大道二段260號十四樓,陳昱志,陳昱旭,陳紀菁,財務協理,1989-03-24,2004-04-23,20700000,8590000,0,每年,股東會,安侯建業會計師事務所,莊鈞維,許明芳,http://www.gish.com.tw
8068,全達國際股份有限公司,全達,16,台北市大安區敦化南路二段67號13樓,&#20931;俊榮,王凱元,黃立維,財務長,1997-05-15,2004-03-25,80765949,36295992,0,每年,股東會,安侯建業聯合會計師事務所,余聖河,羅瑞芝,http://www.chander.com.tw/
8069,元太科技工業股份有限公司,元太,2,新竹市科學園區力行一路3號,李政昊,甘豐源,陳樂群,財務長,1992-06-16,2004-03-30,1148219337,60000000,0,每年,董事會,勤業眾信聯合會計師事務所,黃惠敏,翁雅玲,www.eink.com
8071,能率網通股份有限公司,能率網通,13,新北市汐止區康寧街169巷27號13樓之一,胡湘麒,洪再發,胡湘麒,董事長,1993-06-29,2003-12-29,60084283,0,0,每年,董事會,佳明聯合會計師事務所,葉湘萍,周峻墩,www.fstdisc.com.tw
8074,鉅橡企業股份有限公司,鉅橡,13,台南市佳里區海澄里萊芊寮12-27號,莊煌星,莊煌星,馮興運,資深副總經理,1996-02-01,2004-01-27,80974466,0,0,每年,董事會,勤業眾信聯合會計師事務所,王騰葦,李季珍,https://www.aurona.com.tw/
8076,伍豐科技股份有限公司,伍豐,12,新北市汐止區新台五路一段七十五號十樓,徐明哲,彭禾夆,賴盈甫,財務處長,1995-01-17,2003-12-15,295452592,0,0,每年,董事會,資誠聯合會計師事務所,支秉鈞,賴宗羲,https://www.fecpos.com/tw/
8077,洛碁實業股份有限公司,洛碁,30,臺北市中山區南京東路2段69號3樓,謝憲治,崔潔民,崔潔民,總經理,1994-07-22,2004-12-06,21945669,11886691,0,每年,股東會,馬施云大華聯合會計師事務所,吳昆益,吳獻恩,http://www.greenworldhotels.com/
8080,泰霖事業股份有限公司,泰霖,22,台北市中山區植福路308號3樓,劉東嶽,張志弘,蕭美智,財務經理,1993-12-06,2004-05-10,63163821,52500013,0,每年,股東會,安侯建業聯合會計師事務所,韓沂璉,鄒依芸,www.ost.com.tw
8083,瑞穎股份有限公司,瑞穎,11,新北市新莊區新北產業園區五權三路八號,陳柏峰,陳柏津,楊金義,財務課長,1997-11-10,2004-09-23,35133193,0,0,每年,股東會,安永聯合會計師事務所,徐榮煌,馬君廷,www.prohawk.com.tw
8084,巨虹電子股份有限公司,巨虹,16,新北市中和區連城路258號9樓之1,唐嘉君,唐嘉君,陳敏俊,總管理處副總,1993-12-06,2004-03-08,69514149,29077605,0,每年,董事會,霈昇聯合會計師事務所,王新元,林育雅,www.chiphope.com
8085,福華電子股份有限公司,福華,14,台北市中山北路三段22號,洪奇昌,宋成璽(代理),宋成璽,財務主管,1970-08-31,2004-03-01,139983060,0,0,每年,股東會,安侯建業聯合會計師事務所,潘俊名,賴麗真,http://www.fwd.com.tw
8086,宏捷科技股份有限公司,宏捷科,1,南部科學園區台南市新市區大利一路6號,祁幼銘,黃國鈞,薛文翔,行銷業務經理,1998-12-30,2009-06-01,196516123,45000000,0,每年,股東會,安侯建業聯合會計師事務所,吳俊源,黃泳華,http://www.awsc.com.tw
8087,麗升能源科技股份有限公司,麗升能源,28,110404台北市信義區松高路1號10樓之1,林麗珍,林麗珍,邱美雅,資深副總經理,1997-08-22,2004-02-25,38960965,0,0,每年,董事會,安侯建業聯合會計師事務所,張淑瑩,黃欣婷,www.leadsun-green.com
8088,品安科技股份有限公司,品安,1,台北市內湖區成功路五段４６０號 9 樓,謝吳沛,謝吳沛,吳惠珠,執行副總經理,1994-02-01,2004-02-27,60921749,0,0,每年,股東會,立本台灣聯合會計師事務所,許坤錫,劉克宜,www.panram.com.tw
8089,康全電訊股份有限公司,康全電訊,15,新北市三重區重新路5段609巷10號3樓之1,任冠生,洪榮隆,王淑靜,財務長,1990-04-07,2020-09-23,58665527,0,0,每年,股東會,勤業眾信聯合會計師事務所,龔則立,陳昭宇,www.comtrend.com
